epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.553,1.34769,1.46066,1.09324,0,0,0,0,0,672.767,0,0.000255748,0.000255748,0.000255748
2,222.728,1.24108,0.93405,1.05884,0,0,0,0,0,650.217,0,0.000495183,0.000495183,0.000495183
3,331.727,1.21164,0.89013,1.04797,0,0,0,0,0,781.183,0,0.000717699,0.000717699,0.000717699
4,439.965,1.18992,0.85535,1.04055,0,0,0,0,0,740.9,0,0.000692869,0.000692869,0.000692869
5,548.3,1.15162,0.80477,1.02604,0,0,0,0,0,821.417,0,0.000667492,0.000667492,0.000667492
6,656.949,1.11757,0.77444,1.01197,0,0,0,0,0,773.517,0,0.000642115,0.000642115,0.000642115
7,765.479,1.09369,0.7433,1.00401,0,0,0,0,0,778.817,0,0.000616738,0.000616738,0.000616738
8,887.134,1.06851,0.71985,0.99296,0,0,0,0,0,860.133,0,0.000591361,0.000591361,0.000591361
